episode,episode_reward,nb_steps,duration,loss,mae,mean_q,mean_eps,ale.lives,reward_min,reward_max
1,8.0,569,,,,,,2.181019332161687,0.0,1.0
2,10.0,1308,,,,,,1.76319350473613,0.0,1.0
3,10.0,2080,,,,,,2.005181347150259,0.0,1.0
4,6.0,2767,,,,,,2.2241630276564774,0.0,1.0
5,10.0,3547,,,,,,1.9423076923076923,0.0,1.0
6,13.0,4769,,,,,,2.0171849427168578,0.0,1.0
7,12.0,5447,,,,,,1.733038348082596,0.0,1.0
8,6.0,6103,,,,,,2.2286585365853657,0.0,1.0
9,12.0,6816,,,,,,2.1051893408134643,0.0,1.0
10,5.0,7224,,,,,,1.9656862745098038,0.0,1.0
11,12.0,7965,,,,,,2.0620782726045883,0.0,1.0
12,9.0,8577,,,,,,2.1748366013071894,0.0,1.0
13,5.0,9326,,,,,,2.371161548731642,0.0,1.0
14,10.0,10249,,,,,,2.14626218851571,0.0,1.0
15,17.0,11067,,,,,,2.209046454767726,0.0,1.0
16,7.0,11675,,,,,,2.098684210526316,0.0,1.0
17,4.0,12153,,,,,,2.069037656903766,0.0,1.0
18,8.0,12799,,,,,,2.0340557275541795,0.0,1.0
19,7.0,13475,,,,,,2.3298816568047336,0.0,1.0
20,5.0,13975,,,,,,2.128,0.0,1.0
21,12.0,14756,,,,,,2.087067861715749,0.0,1.0
22,14.0,15641,,,,,,2.0847457627118646,0.0,1.0
23,9.0,16222,,,,,,2.0378657487091223,0.0,1.0
24,8.0,16841,,,,,,2.210016155088853,0.0,1.0
25,15.0,17786,,,,,,1.8687830687830689,0.0,1.0
26,7.0,18520,,,,,,1.9318801089918256,0.0,1.0
27,8.0,18949,,,,,,2.1445221445221447,0.0,1.0
28,8.0,19571,,,,,,2.1784565916398715,0.0,1.0
29,6.0,20138,,,,,,2.052910052910053,0.0,1.0
30,13.0,21013,,,,,,1.8868571428571428,0.0,1.0
31,6.0,21608,,,,,,1.9798319327731093,0.0,1.0
32,12.0,22457,,,,,,2.07773851590106,0.0,1.0
33,8.0,22993,,,,,,1.8880597014925373,0.0,1.0
34,4.0,23376,,,,,,2.2506527415143602,0.0,1.0
35,9.0,24215,,,,,,1.7234803337306317,0.0,1.0
36,15.0,25126,,,,,,2.24807903402854,0.0,1.0
37,10.0,25759,,,,,,1.8783570300157977,0.0,1.0
38,13.0,26593,,,,,,2.484412470023981,0.0,1.0
39,6.0,27220,,,,,,2.2137161084529504,0.0,1.0
40,12.0,28081,,,,,,2.6306620209059233,0.0,1.0
41,8.0,28688,,,,,,2.028006589785832,0.0,1.0
42,10.0,29306,,,,,,1.8527508090614886,0.0,1.0
43,21.0,30211,,,,,,2.0033149171270717,0.0,1.0
44,10.0,30924,,,,,,2.5217391304347827,0.0,1.0
45,17.0,31944,,,,,,2.156862745098039,0.0,1.0
46,14.0,32791,,,,,,2.3258559622195984,0.0,1.0
47,20.0,33987,,,,,,2.341973244147157,0.0,1.0
48,17.0,34918,,,,,,2.176154672395274,0.0,1.0
49,8.0,35505,,,,,,2.2146507666098807,0.0,1.0
50,7.0,36143,,,,,,2.3275862068965516,0.0,1.0
51,6.0,36732,,,,,,2.089983022071307,0.0,1.0
52,8.0,37419,,,,,,1.9024745269286754,0.0,1.0
53,11.0,38097,,,,,,2.4424778761061945,0.0,1.0
54,6.0,38533,,,,,,2.1903669724770642,0.0,1.0
55,4.0,38926,,,,,,2.2595419847328246,0.0,1.0
56,9.0,39486,,,,,,2.175,0.0,1.0
57,12.0,40328,,,,,,2.642517814726841,0.0,1.0
58,6.0,40868,,,,,,2.011111111111111,0.0,1.0
59,10.0,41638,,,,,,2.0493506493506493,0.0,1.0
60,10.0,42365,,,,,,1.84181568088033,0.0,1.0
61,9.0,42899,,,,,,2.00187265917603,0.0,1.0
62,7.0,43266,,,,,,2.2670299727520438,0.0,1.0
63,10.0,43940,,,,,,1.8531157270029674,0.0,1.0
64,16.0,44892,,,,,,1.944327731092437,0.0,1.0
65,13.0,45782,,,,,,2.1932584269662923,0.0,1.0
66,12.0,46590,,,,,,1.9987623762376239,0.0,1.0
67,9.0,47387,,,,,,2.105395232120452,0.0,1.0
68,10.0,48149,,,,,,1.6233595800524934,0.0,1.0
69,4.0,48570,,,,,,2.2256532066508314,0.0,1.0
70,5.0,48965,,,,,,2.091139240506329,0.0,1.0
71,28.0,49959,,,,,,1.9738430583501005,0.0,1.0
72,5.0,50378,,0.01534538,0.10727627,0.15491037,0.954829,2.2386634844868736,0.0,1.0
73,19.0,51517,,0.008929065,0.06715514,0.076805346,0.9541467999999999,2.2827041264266903,0.0,1.0
74,8.0,52334,,0.0086240675,0.06085733,0.061597683,0.9532665999999999,2.408812729498164,0.0,1.0
75,16.0,53463,,0.007233652,0.06626811,0.06512785,0.9523918,1.8184233835252437,0.0,1.0
76,12.0,54249,,0.009583778,0.06126127,0.06700159,0.9515296,2.2595419847328246,0.0,1.0
77,10.0,54896,,0.007215522,0.062449496,0.07090509,0.9508852,2.0757341576506954,0.0,1.0
78,11.0,55998,,0.008600339,0.07509746,0.07882415,0.9500986000000001,1.8475499092558985,0.0,1.0
79,15.0,56926,,0.008840479,0.059260417,0.05521473,0.9491842,1.8857758620689655,0.0,1.0
80,16.0,58024,,0.007852363,0.060558975,0.053576283,0.9482734,2.285063752276867,0.0,1.0
81,6.0,58533,,0.007813392,0.06229516,0.059891485,0.9475498,2.119842829076621,0.0,1.0
82,12.0,59292,,0.008495022,0.07296596,0.07864736,0.9469791999999999,1.8906455862977603,0.0,1.0
83,6.0,59951,,0.007814715,0.08489878,0.0953836,0.946342,1.8437025796661608,0.0,1.0
